Data Medicao,TX,LST_Celsius
2018-05-27,26.7,34.03000000000003
2018-06-01,25.95,38.33000000000004
2018-06-02,27.65,28.49000000000001
2018-06-03,27.25,33.55000000000001
2018-06-05,26.5,37.23000000000002
2018-06-10,25.75,31.370000000000005
2018-06-12,27.3,35.13000000000005
2018-06-14,25.2,34.950000000000045
2018-06-15,27.55,35.57000000000005
2018-06-17,28.1,34.77000000000004
2018-06-18,27.9,35.99000000000001
2018-06-19,26.2,34.150000000000034
2018-06-21,26.4,38.01000000000005
2018-06-22,26.7,37.170000000000016
2018-06-23,27.1,38.05000000000001
2018-06-25,26.25,32.13000000000005
2018-06-26,27.2,38.57000000000005
2018-06-28,26.9,33.670000000000016
2018-06-30,26.55,39.89000000000004
2018-07-01,27.8,40.610000000000014
2018-07-04,27.25,36.650000000000034
2018-07-05,27.65,39.71000000000003
2018-07-08,25.6,34.35000000000002
2018-07-09,27.5,40.73000000000002
2018-07-12,28.4,40.13000000000005
2018-07-14,25.6,42.39000000000004
2018-07-16,26.35,40.150000000000034
2018-07-19,27.05,41.21000000000003
2018-07-21,27.55,41.870000000000005
2018-07-23,24.3,31.370000000000005
2018-07-24,24.35,33.370000000000005
2018-07-25,24.5,30.83000000000004
2018-07-27,27.75,38.35000000000002
2018-07-28,26.3,40.63000000000005
2018-07-30,27.65,40.55000000000001
2018-08-03,26.6,42.33000000000004
2018-08-04,27.0,40.07000000000005
2018-08-05,27.5,40.47000000000003
2018-08-06,27.4,45.49000000000001
2018-08-08,27.8,44.450000000000045
2018-08-09,28.8,38.150000000000034
2018-08-10,28.4,38.39000000000004
2018-08-11,27.65,45.49000000000001
2018-08-13,28.25,45.870000000000005
2018-08-15,28.2,43.89000000000004
2018-08-17,27.6,36.43000000000001
2018-08-18,26.6,37.650000000000034
2018-08-19,27.1,40.33000000000004
2018-08-20,27.65,43.07000000000005
2018-08-21,27.5,32.870000000000005
2018-08-22,27.9,41.27000000000004
2018-08-24,27.9,39.650000000000034
2018-08-25,28.4,42.910000000000025
2018-08-26,24.85,40.89000000000004
2018-08-27,27.0,45.690000000000055
2018-08-31,27.7,40.59000000000003
2018-09-01,27.6,37.73000000000002
2018-09-04,28.25,45.170000000000016
2018-09-05,28.4,45.73000000000002
2018-09-07,27.75,34.210000000000036
2018-09-11,28.5,33.81
2018-09-12,28.75,47.07000000000005
2018-09-13,27.75,42.33000000000004
2018-09-14,28.1,48.31
2018-09-16,29.0,37.51000000000005
2018-09-17,29.6,42.89000000000004
2018-09-18,29.4,43.75000000000006
2018-09-20,28.7,40.43000000000001
2018-09-21,29.25,48.59000000000003
2018-09-22,28.6,42.83000000000004
2018-09-23,28.85,47.83000000000004
2018-09-27,28.5,41.79000000000002
2018-09-28,28.8,48.190000000000055
2018-09-29,29.95,44.05000000000001
2018-09-30,30.1,48.29000000000002
2018-10-02,29.75,49.610000000000014
2018-10-04,29.25,48.51000000000005
2018-10-08,28.9,38.97000000000003
2018-10-09,29.75,46.93000000000001
2018-10-11,29.3,47.690000000000055
2018-10-12,29.25,46.410000000000025
2018-10-13,30.45,45.63000000000005
2018-10-14,29.35,49.03000000000003
2018-10-16,28.05,45.57000000000005
2018-10-18,29.6,47.450000000000045
2018-10-20,31.1,49.35000000000002
2018-10-22,30.55,45.63000000000005
2018-10-23,30.5,49.150000000000034
2018-10-24,30.15,40.99000000000001
2018-10-25,30.2,48.93000000000001
2018-10-27,29.5,49.05000000000001
2018-10-28,29.75,49.47000000000003
2018-10-29,29.45,47.23000000000002
2018-11-05,30.4,45.450000000000045
2018-11-07,29.35,38.25000000000006
2018-11-08,29.45,40.25000000000006
2018-11-09,29.85,44.05000000000001
2018-11-10,29.75,48.870000000000005
2018-11-12,30.2,49.610000000000014
2018-11-14,30.1,45.79000000000002
2018-11-17,30.6,50.13000000000005
2018-11-19,30.5,46.27000000000004
2018-11-20,28.65,41.13000000000005
2018-11-21,29.95,46.81
2018-11-23,29.3,40.21000000000003
2018-11-28,28.75,32.93000000000001
2018-12-01,30.05,41.410000000000025
2018-12-05,30.0,37.690000000000055
2018-12-06,29.85,44.23000000000002
2018-12-07,30.0,46.63000000000005
2018-12-08,30.9,42.77000000000004
2018-12-11,29.6,39.29000000000002
2018-12-12,28.0,35.910000000000025
2018-12-14,29.65,43.170000000000016
2018-12-15,29.3,44.610000000000014
2018-12-19,29.75,48.25000000000006
2018-12-21,29.45,49.01000000000005
2018-12-24,26.6,36.650000000000034
2018-12-26,27.75,44.21000000000003
2018-12-27,28.45,39.47000000000003
2018-12-28,29.7,46.170000000000016
2018-12-30,30.2,48.79000000000002
2018-12-31,30.15,44.370000000000005
2019-01-01,30.65,39.01000000000005
2019-01-02,29.65,45.57000000000005
2019-01-03,29.3,43.05000000000001
