system:index,LST_Celsius,QC_Day,data,timestamp_utc,.geo
2014_07_26,38.63845890410962,0.0,2014-07-26,1.4063328E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_07_30,38.714673366834205,0.0,2014-07-30,1.4066784E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_08_02,44.67104417670686,0.0,2014-08-02,1.4069376E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_08_04,44.1783529411765,0.0,2014-08-04,1.4071104E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_08_11,39.94151515151516,0.0,2014-08-11,1.4077152E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_08_15,37.56630653266335,0.0,2014-08-15,1.4080608E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_08_29,45.61482758620693,0.0,2014-08-29,1.4092704E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_08_31,40.8072260273973,0.0,2014-08-31,1.4094432E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_09_02,42.97404522613069,0.0,2014-09-02,1.409616E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_09_03,49.5049748743719,0.0,2014-09-03,1.4097024E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_09_15,44.71610795454547,0.0,2014-09-15,1.4107392E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_09_23,43.97379248658322,0.0,2014-09-23,1.4114304E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_09_27,42.58879396984929,0.0,2014-09-27,1.411776E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_09_28,48.24193181818185,0.0,2014-09-28,1.4118624E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_09_30,50.33927135678397,0.0,2014-09-30,1.4120352E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_10_05,43.876184738955864,0.0,2014-10-05,1.4124672E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_10_09,42.48188442211059,0.0,2014-10-09,1.4128128E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_10_14,47.25000000000006,0.0,2014-10-14,1.4132448E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_10_20,42.64192307692312,0.0,2014-10-20,1.4137632E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_11_15,47.0780729166667,0.0,2014-11-15,1.4160096E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_11_26,48.160751445086724,0.0,2014-11-26,1.41696E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_11_30,41.87386934673368,0.0,2014-11-30,1.4173056E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
