system:index,LST_Celsius,data,timestamp_utc,.geo
2003_08_31,37.767087378640795,2003-08-31,1062288000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_09_02,38.208366834170896,2003-09-02,1062460800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_09_03,45.0345477386935,2003-09-03,1062547200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_09_09,40.64221105527642,2003-09-09,1063065600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_09_10,41.89930635838152,2003-09-10,1063152000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_09_11,40.757487437185965,2003-09-11,1063238400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_09_12,41.49000000000001,2003-09-12,1063324800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_09_14,39.44330973451329,2003-09-14,1063497600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_09_16,49.203743718593,2003-09-16,1063670400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_09_17,44.38736180904525,2003-09-17,1063756800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_09_18,42.32314070351762,2003-09-18,1063843200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_09_19,46.36324120603018,2003-09-19,1063929600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_09_20,36.903241206030195,2003-09-20,1064016000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_09_21,48.2554271356784,2003-09-21,1064102400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_09_23,44.96539503386008,2003-09-23,1064275200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_09_24,43.83989949748746,2003-09-24,1064361600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_09_25,37.621031746031775,2003-09-25,1064448000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_09_26,45.85940525587831,2003-09-26,1064534400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_09_27,46.334321608040234,2003-09-27,1064620800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_09_28,49.88836683417087,2003-09-28,1064707200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_09_29,41.60203517587943,2003-09-29,1064793600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_09_30,50.57160804020103,2003-09-30,1064880000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_10_02,39.05726315789476,2003-10-02,1065052800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_10_04,43.9846733668342,2003-10-04,1065225600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
