system:index,LST_Celsius,QC_Day,data,timestamp_utc,.geo
2010_09_15,42.77407263294427,63.021356783919586,2010-09-15,1.2845088E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_16,40.1878140703518,0.0,2010-09-16,1.2845952E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_19,37.6810301507538,65.0,2010-09-19,1.2848544E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_21,36.84668341708546,65.0,2010-09-21,1.2850272E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_23,36.44067839195984,65.0,2010-09-23,1.2852E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_24,37.916821705426365,53.04899497487437,2010-09-24,1.2852864E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_26,40.300527638190964,65.0,2010-09-26,1.2854592E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_27,37.43010376134893,63.021356783919586,2010-09-27,1.2855456E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_28,46.24768844221107,0.0,2010-09-28,1.285632E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_29,49.38582914572866,0.0,2010-09-29,1.2857184E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_30,45.87216080402013,0.0,2010-09-30,1.2858048E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_10_01,50.83080402010052,0.0,2010-10-01,1.2858912E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_10_02,42.03311557788946,0.0,2010-10-02,1.2859776E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_10_03,52.79338672768882,42.45603015075377,2010-10-03,1.286064E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_10_05,47.861859296482436,0.0,2010-10-05,1.2862368E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_10_06,48.507135678392,0.0,2010-10-06,1.2863232E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_10_07,48.193015075376906,0.0,2010-10-07,1.2864096E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_10_08,48.688668341708585,0.0,2010-10-08,1.286496E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_10_09,46.36231155778896,0.0,2010-10-09,1.2865824E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_10_10,51.72731155778898,54.79271356783919,2010-10-10,1.2866688E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_10_12,49.21007537688444,0.0,2010-10-12,1.2868416E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_10_14,46.56286432160806,65.0,2010-10-14,1.2870144E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_10_15,47.25092964824122,0.0,2010-10-15,1.2871008E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_10_17,45.55137931034487,13.476130653266331,2010-10-17,1.2872736E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_10_18,42.15253768844223,88.47738693467336,2010-10-18,1.28736E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_10_19,50.54557788944726,65.0,2010-10-19,1.2874464E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_10_26,39.08806532663318,65.0,2010-10-26,1.2880512E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_10_28,35.64873925501437,57.24371859296481,2010-10-28,1.288224E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_10_30,38.58859296482415,65.0,2010-10-30,1.2883968E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_01,37.57025125628143,65.0,2010-11-01,1.2885696E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_02,46.626080402010075,0.0,2010-11-02,1.288656E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_03,38.96831658291459,0.0,2010-11-03,1.2887424E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_04,42.99540201005027,0.0,2010-11-04,1.2888288E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_06,33.23414772727276,57.71859296482412,2010-11-06,1.2890016E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_08,40.28522613065329,0.0,2010-11-08,1.2891744E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_09,42.725477386934706,0.0,2010-11-09,1.2892608E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_10,32.53000000000003,3.9786432160804015,2010-11-10,1.2893472E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_11,41.63438356164387,48.22110552763818,2010-11-11,1.2894336E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_13,42.61052763819098,0.0,2010-11-13,1.2896064E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_15,43.37713567839201,65.0,2010-11-15,1.2897792E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_16,43.67701005025128,5.9610552763819085,2010-11-16,1.2898656E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_18,47.25505025125632,0.0,2010-11-18,1.2900384E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_19,39.62914383561649,48.22110552763818,2010-11-19,1.2901248E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_20,46.7488693467337,64.80778894472361,2010-11-20,1.2902112E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_22,40.332083333333365,32.391959798994975,2010-11-22,1.290384E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_23,40.63273869346735,129.0,2010-11-23,1.2904704E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_25,37.42275000000003,33.65829145728644,2010-11-25,1.2906432E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_27,49.47077889447237,0.0,2010-11-27,1.290816E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_29,39.38517587939702,65.0,2010-11-29,1.2909888E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_30,43.17080402010051,65.0,2010-11-30,1.2910752E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_12_01,34.24318485523388,37.53643216080402,2010-12-01,1.2911616E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_12_04,45.948467336683436,48.66834170854271,2010-12-04,1.2914208E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_12_06,42.34346733668345,65.0,2010-12-06,1.2915936E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_12_12,24.150000000000034,4.453517587939698,2010-12-12,1.292112E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_12_13,32.38260700389108,63.021356783919586,2010-12-13,1.2921984E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_12_15,27.103463268365832,54.79020100502512,2010-12-15,1.2923712E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_12_20,37.51479899497492,65.0,2010-12-20,1.2928032E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_12_22,38.618668341708585,72.34547738693466,2010-12-22,1.292976E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_12_25,33.62827298050141,30.41331658291458,2010-12-25,1.2932352E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_12_26,39.0241206030151,0.0,2010-12-26,1.2933216E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_12_27,41.51361809045228,0.0,2010-12-27,1.293408E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_12_28,37.040502512562846,0.0,2010-12-28,1.2934944E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_12_29,43.00761306532665,31.846733668341706,2010-12-29,1.2935808E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_01_01,36.07183066361561,71.72236180904522,2011-01-01,1.29384E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_01_03,42.86701005025128,65.0,2011-01-03,1.2940128E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_01_05,39.44778894472365,65.0,2011-01-05,1.2941856E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_01_13,29.16866834170857,65.0,2011-01-13,1.2948768E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_01_14,36.794497487437205,65.0,2011-01-14,1.2949632E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_01_16,41.47706030150755,38.869346733668344,2011-01-16,1.295136E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_01_17,30.390000000000043,4.453517587939698,2011-01-17,1.2952224E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_01_27,31.670000000000016,54.79020100502512,2011-01-27,1.2960864E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_01_29,27.105838150289035,56.768844221105525,2011-01-29,1.2962592E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_01_30,38.5031909547739,65.0,2011-01-30,1.2963456E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_02_01,28.90350427350431,39.040201005025125,2011-02-01,1.2965184E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_02_02,31.461960227272748,57.71859296482412,2011-02-02,1.2966048E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_02_03,33.43838174273862,59.22236180904522,2011-02-03,1.2966912E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_02_10,39.9200502512563,0.0,2011-02-10,1.297296E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_02_17,36.770276381909575,65.0,2011-02-17,1.2979008E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_02_18,32.68655778894476,65.0,2011-02-18,1.2979872E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_02_19,35.97669281045753,62.54648241206029,2011-02-19,1.2980736E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_02_22,36.286238651102494,63.021356783919586,2011-02-22,1.2983328E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_02_24,38.974723618090486,0.0,2011-02-24,1.2985056E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_02_26,33.254961240310095,42.83919597989949,2011-02-26,1.2986784E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_03_02,28.931884422110585,40.175879396984925,2011-03-02,1.299024E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_03_03,34.71941780821922,48.22110552763818,2011-03-03,1.2991104E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_03_05,36.343542713567864,0.0,2011-03-05,1.2992832E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_03_07,27.496969696969728,33.34170854271357,2011-03-07,1.299456E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_03_09,25.690000000000055,5.988693467336684,2011-03-09,1.2996288E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_03_10,38.22598853868197,57.24371859296481,2011-03-10,1.2997152E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_03_12,37.27663316582916,51.26256281407034,2011-03-12,1.299888E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_03_16,32.0192462311558,62.46859296482411,2011-03-16,1.3002336E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_03_17,40.49404522613067,0.0,2011-03-17,1.30032E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_03_18,35.980527638190985,0.0,2011-03-18,1.3004064E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_03_19,42.07713567839198,0.0,2011-03-19,1.3004928E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_03_21,38.93085106382982,28.03894472361809,2011-03-21,1.3006656E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_03_23,42.11640703517592,0.0,2011-03-23,1.3008384E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_03_26,37.047613065326665,7.5125628140703515,2011-03-26,1.3010976E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_03_27,26.697115384615394,18.592964824120603,2011-03-27,1.301184E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_03_28,36.26259259259264,25.49371859296483,2011-03-28,1.3012704E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_03_30,39.635879396984954,0.0,2011-03-30,1.3014432E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
