Data Medicao,Hora Medicao,TX,LST_Celsius
2008-12-09,1200,25.4,41.38633165829148
2008-12-11,1200,27.0,44.00648241206032
2008-12-12,1200,27.8,39.36809045226133
2008-12-13,1200,26.5,41.56356783919602
2008-12-14,1200,27.3,45.794120603015095
2008-12-15,1200,27.3,44.75439698492465
2008-12-16,1200,27.3,42.63513618677045
2008-12-18,1200,27.0,46.293777089783305
2008-12-25,1200,26.1,47.89474874371862
2008-12-27,1200,27.3,36.89226244343894
2008-12-28,1200,26.9,44.846909547738726
2008-12-29,1200,26.5,40.70020100502516
2008-12-30,1200,26.4,49.34643216080405
2008-12-31,1200,26.7,39.17458579881661
2009-01-01,1200,27.0,51.53979899497491
2009-01-03,1200,27.3,47.31775147928998
2009-01-05,1200,26.4,37.29000000000002
2009-01-08,1200,26.8,45.166862745098065
2009-01-11,1200,27.6,40.27578796561607
2009-01-12,1200,27.3,51.20364321608045
2009-01-14,1200,26.8,48.8977638190955
2009-01-15,1200,27.1,48.71804020100505
2009-01-17,1200,26.9,39.97669432918397
2009-01-24,1200,26.0,38.865251256281454
2009-01-26,1200,25.4,42.62608040201008
2009-01-27,1200,26.8,38.190000000000055
2009-01-28,1200,25.8,44.70050251256284
2009-01-31,1200,25.8,45.53432539682544
2009-02-04,1200,26.6,39.85965517241381
2009-02-06,1200,26.5,41.85716080402012
2009-02-07,1200,25.9,45.84997487437188
2009-02-08,1200,26.1,42.412135678391984
2009-02-09,1200,26.8,49.63268844221108
2009-02-11,1200,26.9,47.84693467336686
2009-02-18,1200,23.7,39.35296052631582
2009-03-03,1200,23.2,32.60797979797982
2009-03-04,1200,24.9,36.272060301507565
2009-03-05,1200,25.8,32.8474623115578
2009-03-08,1200,24.0,38.11675879396987
2009-03-10,1200,25.5,36.03319095477389
2009-03-11,1200,25.6,39.04184466019419
2009-03-15,1200,26.9,39.0917948717949
2009-03-17,1200,25.9,38.831745562130216
2009-03-18,1200,25.5,36.19680904522616
2009-03-19,1200,25.8,28.766000000000012
2009-03-20,1200,26.0,46.04959798994977
2009-03-21,1200,26.2,35.64015929203542
2009-03-22,1200,26.8,46.51932160804022
2009-03-24,1200,27.1,46.89864321608042
2009-03-26,1200,26.5,40.40193467336686
2009-03-27,1200,26.9,39.44834170854275
2009-03-28,1200,26.4,39.30773869346737
2009-03-29,1200,28.0,47.648028534370965
2009-03-31,1200,27.0,38.92693904020756
2009-04-01,1200,26.8,35.347160804020135
2009-04-04,1200,25.9,35.398844221105556
2009-04-05,1200,25.1,36.10796482412064
2009-04-07,1200,25.1,36.13278894472366
2009-04-09,1200,25.9,38.961633165829184
2009-04-14,1200,24.1,30.5566666666667
2009-04-16,1200,25.2,33.563768844221144
2009-04-28,1200,26.1,32.01499115044251
2009-04-30,1200,26.0,34.39015075376888
2009-05-05,1200,24.9,26.090000000000032
2009-05-06,1200,25.2,24.55816582914576
2009-05-07,1200,24.6,31.287236180904568
2009-05-09,1200,25.1,33.60180904522616
2009-05-12,1200,23.4,28.91532347504623
2009-05-15,1200,24.7,21.65000000000003
2009-05-18,1200,25.5,26.47807610993662
2009-05-19,1200,24.7,26.169949748743747
2009-05-20,1200,23.8,30.184723618090473
2009-05-22,1200,23.9,25.32375000000002
2009-05-30,1200,24.1,29.438266331658323
2009-05-31,1200,23.5,23.785664739884417
2009-06-01,1200,24.1,31.910452261306556
2009-06-03,1200,23.8,31.942185929648264
2009-06-04,1200,23.7,34.89261306532667
2009-06-06,1200,24.2,24.52125000000001
2009-06-09,1200,23.2,25.683699115044273
2009-06-17,1200,24.1,29.775929648241245
2009-06-19,1200,23.2,33.31949748743721
2009-06-21,1200,23.6,30.11356783919602
2009-06-23,1200,24.1,29.163542713567868
2009-06-24,1200,24.1,28.855050251256323
2009-06-28,1200,23.7,18.53000000000003
2009-06-30,1200,22.3,30.85324120603018
2009-07-01,1200,22.8,25.93830188679248
2009-07-02,1200,23.8,24.430000000000007
2009-07-03,1200,23.6,32.44824120603019
2009-07-10,1200,21.6,29.030492866407307
2009-07-11,1200,23.2,29.52429648241209
