Data Medicao,TX,LST_Celsius
2011-09-09,27.4,44.31231155778899
2011-09-13,26.5,44.9107788944724
2011-09-22,27.65,46.41180904522616
2011-09-25,28.8,47.41864321608044
2011-10-01,27.8,43.99253768844225
2011-10-03,27.75,43.71939698492464
2011-10-04,28.5,48.710703517587966
2011-10-08,25.85,44.8847236180905
2011-10-22,28.45,44.777160804020134
2011-10-29,29.4,47.656708542713595
2011-11-16,28.95,45.712939698492505
2011-11-25,28.4,45.24655778894475
2011-11-26,28.25,44.40608040201008
2012-01-06,28.85,47.7499246231156
2012-02-01,27.8,39.24062814070354
2012-02-08,28.85,44.678592964824155
2012-03-04,29.15,44.94248743718596
2012-03-09,29.4,48.022512562814086
2012-03-17,29.55,47.03399497487439
2012-04-11,29.3,47.65530150753772
2012-04-12,29.3,46.45396984924627
